,gameID,HomeAway,Outcome,goals,pim,shots,powerPlayPercentage,powerPlayGoals,powerPlayOpportunities,faceOffWinPercentage,blocked,takeaways,giveaways,hits,OPPgoals,OPPpim,OPPshots,OPPpowerPlayPercentage,OPPpowerPlayGoals,OPPpowerPlayOpportunities,OPPfaceOffWinPercentage,OPPblocked,OPPtakeaways,OPPgiveaways,OPPhits
0,2014020010,Away,Overtime Loss,2,20,21,0,0,2,46.3,13,10,5,21,3,10,32,42.9,3,7,53.7,10,9,8,28
1,2014020022,Home, loss,1,17,29,12.5,1,8,51.9,5,4,3,27,5,23,24,40,2,5,48.1,10,0,3,25
2,2014020037,Home, loss,0,12,30,0,0,3,47.1,9,8,6,42,1,8,23,20,1,5,52.9,13,11,4,35
3,2014020056,Away,Win,1,12,35,0,0,5,52.6,10,7,10,19,0,12,26,0,0,5,47.4,17,6,9,27
4,2014020069,Away,,1,4,21,20,1,5,34.9,17,6,10,30,1,10,28,0,0,2,65.1,14,4,12,31
5,2014020087,Away,Win,4,15,36,50,1,2,50,9,11,2,14,3,9,33,40,2,5,50,11,9,6,28
6,2014020115,Away,Overtime Loss,1,16,24,0,0,2,46,21,6,5,26,2,4,41,25,2,8,54,9,5,5,31
7,2014020143,Home,Win,2,17,26,33.3,1,3,45,8,6,2,23,1,15,33,25,1,4,55,16,3,1,31
8,2014020156,Home,Win,2,14,30,25,1,4,55.2,12,3,0,26,1,10,37,0,0,6,44.8,3,1,3,16
9,2014020172,Away,Overtime Loss,1,0,19,0,0,1,38.5,12,8,7,27,2,2,25,0,0,0,61.5,12,11,9,21
10,2014020188,Away, loss,1,8,35,25,1,4,52,14,4,4,35,4,12,30,0,0,2,48,18,3,6,35
11,2014020202,Home, loss,4,6,31,0,0,3,63.3,7,4,3,30,6,6,25,33.3,1,3,36.7,15,2,2,22
12,2014020225,Home,Win,4,4,30,0,0,2,49.1,17,4,4,30,1,4,26,0,0,2,50.9,6,6,1,33
13,2014020246,Home,,3,6,38,16.7,1,6,60,23,4,6,26,3,12,34,0,0,3,40,17,3,2,32
14,2014020264,Away,Win,6,4,29,100,1,1,41.7,21,6,9,18,2,2,35,0,0,2,58.3,7,5,15,21
15,2014020277,Away, loss,2,14,32,25,1,4,52.2,11,4,7,20,5,10,27,50,3,6,47.8,12,5,23,32
16,2014020290,Away,,2,6,28,20,1,5,41.9,26,7,13,20,2,10,30,33.3,1,3,58.1,20,9,19,27
17,2014020302,Away,,2,8,30,0,0,2,42.6,11,13,6,14,2,4,50,0,0,4,57.4,10,10,8,9
18,2014020315,Home, loss,1,8,30,0,0,3,60.7,8,6,4,35,4,8,39,0,0,3,39.3,10,4,2,25
19,2014020327,Home,Win,1,6,28,0,0,1,57.6,10,5,6,30,0,2,33,0,0,3,42.4,14,2,3,29
20,2014020341,Home,Win,3,11,46,0,0,2,54.7,9,5,4,38,2,11,24,0,0,2,45.3,15,4,5,37
21,2014020358,Away, loss,1,4,25,33.3,1,3,44.6,6,6,5,25,2,6,23,0,0,2,55.4,20,7,4,39
22,2014020368,Away,Win,4,8,31,0,0,1,42.9,14,3,4,21,3,2,41,25,1,4,57.1,8,3,12,13
23,2014020382,Home,,3,9,55,20,1,5,62.7,8,7,5,29,3,17,20,0,0,1,37.3,27,6,2,40
24,2014020395,Home,Win,3,9,37,0,0,1,48.1,8,1,2,44,2,7,28,0,0,2,51.9,13,4,5,40
25,2014020408,Away, loss,2,8,34,0,0,3,47.5,10,6,5,32,4,6,28,0,0,4,52.5,9,8,10,13
26,2014020433,Away,,2,8,26,0,0,5,33.9,13,2,2,11,2,10,31,50,2,4,66.1,6,5,7,20
27,2014020437,Away,Overtime Loss,3,4,28,0,0,1,47.1,10,5,3,16,4,2,32,0,0,2,52.9,13,0,9,14
28,2014020457,Home,,1,4,29,0,0,2,53.8,15,4,8,50,1,4,24,50,1,2,46.2,9,2,5,48
29,2014020467,Away,,1,4,32,0,0,2,49.3,15,3,2,23,1,6,26,0,0,1,50.7,18,6,3,23
30,2014020485,Away, loss,1,32,46,16.7,1,6,48.1,10,2,2,24,3,44,34,0,0,6,51.9,19,4,6,31
31,2014020499,Home,,3,8,37,0,0,3,43.7,13,8,3,46,3,6,27,25,1,4,56.3,13,5,3,42
32,2014020527,Home,Win,6,8,34,33.3,1,3,67.2,10,6,1,26,4,6,22,25,1,4,32.8,5,1,4,33
33,2014020541,Home,,1,4,37,0,0,3,55.7,9,8,3,32,1,6,34,0,0,2,44.3,15,4,3,21
34,2014020551,Home, loss,2,6,20,33.3,1,3,56.4,7,7,6,30,5,8,34,50,1,2,43.6,16,3,1,25
35,2014020558,Away,Win,2,2,33,100,1,1,43.1,13,3,4,22,0,2,30,0,0,1,56.9,9,4,6,31
36,2014020577,Away, loss,3,6,32,0,0,5,40.3,19,8,10,23,4,12,26,50,1,2,59.7,16,8,10,29
37,2014020606,Away,Win,3,18,31,0,0,2,54,14,7,12,14,1,10,33,0,0,6,46,9,3,9,10
38,2014020611,Away,Win,6,14,35,0,0,1,47.9,20,10,12,15,5,6,30,20,1,5,52.1,15,9,26,25
39,2014020624,Away,Win,4,9,27,0,0,2,43.6,12,7,13,17,2,9,33,0,0,2,56.4,6,15,16,24
40,2014020637,Away, loss,2,6,27,0,0,3,38,15,4,14,17,8,6,35,66.7,2,3,62,10,9,15,26
41,2014020649,Home, loss,2,10,32,33.3,1,3,50,6,3,4,25,4,6,29,20,1,5,50,17,1,1,36
42,2014020666,Home,,2,8,37,0,0,3,49.2,11,9,2,32,2,6,34,0,0,4,50.8,10,2,4,29
43,2014020678,Home, loss,1,10,24,0,0,4,61.9,10,4,5,30,2,12,23,0,0,3,38.1,11,2,4,18
44,2014020703,Home, loss,4,2,41,60,3,5,43.4,12,5,3,28,5,10,27,0,0,1,56.6,11,2,6,16
45,2014020717,Home,Win,3,16,31,0,0,3,52.2,7,3,3,31,2,8,33,0,0,2,47.8,8,4,5,33
46,2014020731,Away, loss,1,8,27,0,0,2,40,10,6,5,26,3,6,14,33.3,1,3,60,14,4,6,23
47,2014020742,Away, loss,3,8,36,50,1,2,52.5,9,3,4,23,6,6,38,33.3,1,3,47.5,16,6,8,18
48,2014020746,Away,Win,4,6,30,50,1,2,45,20,14,12,23,2,4,34,33.3,1,3,55,16,18,17,35
49,2014020762,Home,Win,3,4,20,0,0,1,34.4,14,6,5,35,2,2,31,50,1,2,65.6,5,1,2,47
50,2014020785,Home,,2,8,36,0,0,3,50.8,10,4,3,27,2,6,25,50,2,4,49.2,20,3,0,33
51,2014020802,Home,Win,6,11,26,37.5,3,8,38.1,17,6,5,22,2,31,33,33.3,1,3,61.9,5,3,4,39
52,2014020815,Away, loss,1,6,27,0,0,5,48.6,7,3,4,19,2,10,23,50,1,2,51.4,19,9,11,15
